ID Comunidad,Nº Páginas,ADN Temático Principal
52,100,CARDING (97.4%) | HACKING (1.5%) | MARKETPLACE (0.5%)
36,99,DRUGS (3.7%) | FRAUD (0.7%) | HACKING (0.7%)
66,95,MARKETPLACE (95.3%) | PHONE (4.7%)
55,91,FRAUD (99.5%) | CARDING (0.3%) | DRUGS (0.1%)
57,90,FRAUD (99.6%) | HACKING (0.4%)
72,89,MARKETPLACE (88.1%) | DRUGS (6.6%) | PHONE (2.1%)
60,88,FRAUD (100.0%)
21,86,⚠️ Perfil Genérico
67,86,HACKING (100.0%)
61,83,PHONE (99.4%) | WEAPON (0.6%)
43,82,DRUGS (3.9%) | FRAUD (0.8%) | HACKING (0.8%)
68,82,HACKING (96.3%) | PHONE (2.0%) | MARKETPLACE (1.0%)
1,82,DRUGS (52.7%) | HACKING (11.1%) | FRAUD (11.0%)
71,81,HACKING (81.0%) | CARDING (17.3%) | DRUGS (0.9%)
50,79,CARDING (95.4%) | MARKETPLACE (3.3%) | HACKING (0.9%)
26,79,⚠️ Perfil Genérico
49,76,CARDING (87.9%) | HACKING (6.2%) | MARKETPLACE (3.5%)
7,75,HACKING (0.8%) | CARDING (0.8%) | FRAUD (0.5%)
27,72,HACKING (0.5%) | FRAUD (0.3%) | CARDING (0.3%)
25,72,WEAPON (1.4%)
4,71,DRUGS (21.3%) | MARKETPLACE (3.0%) | FRAUD (2.9%)
63,70,HACKING (65.1%) | CARDING (16.9%) | MARKETPLACE (10.4%)
69,68,MARKETPLACE (91.2%) | PHONE (8.8%)
22,68,⚠️ Perfil Genérico
62,68,FRAUD (100.0%)
30,68,DRUGS (3.2%) | FRAUD (1.5%) | HACKING (1.2%)
47,67,FRAUD (0.5%) | HACKING (0.5%) | DRUGS (0.5%)
18,66,⚠️ Perfil Genérico
0,66,DRUGS (63.3%) | FRAUD (8.1%) | HACKING (8.1%)
19,66,⚠️ Perfil Genérico
35,65,DRUGS (6.3%) | HACKING (1.5%) | FRAUD (1.0%)
20,64,⚠️ Perfil Genérico
13,64,DRUGS (2.3%) | HACKING (1.7%) | WEAPON (1.6%)
76,64,PHONE (99.4%) | HACKING (0.6%)
45,64,DRUGS (2.6%) | FRAUD (1.0%) | HACKING (1.0%)
33,63,FRAUD (1.1%) | HACKING (1.1%) | DRUGS (1.1%)
24,63,HACKING (0.6%) | FRAUD (0.4%) | CARDING (0.4%)
34,63,DRUGS (4.8%)
15,63,DRUGS (2.1%) | FRAUD (0.5%) | HACKING (0.5%)
53,63,CARDING (100.0%)
41,63,DRUGS (4.2%) | FRAUD (1.1%) | HACKING (1.1%)
5,62,DRUGS (6.0%) | HACKING (4.9%) | RANSOMWARE (4.9%)
42,62,DRUGS (8.1%) | FRAUD (1.6%) | HACKING (1.6%)
32,60,FRAUD (0.6%) | HACKING (0.6%) | DRUGS (0.6%)
2,59,DRUGS (4.5%) | HACKING (3.3%) | MARKETPLACE (2.9%)
6,58,RANSOMWARE (6.9%) | MARKETPLACE (5.1%) | CARDING (3.5%)
9,58,DRUGS (2.9%) | MARKETPLACE (0.6%)
48,57,CARDING (58.9%) | HACKING (23.2%) | MARKETPLACE (16.9%)
65,57,HACKING (91.3%) | CARDING (4.5%) | PHONE (1.5%)
8,57,⚠️ Perfil Genérico
75,56,MARKETPLACE (92.0%) | PHONE (8.0%)
44,56,DRUGS (4.2%) | FRAUD (0.6%) | HACKING (0.6%)
3,56,DRUGS (13.1%) | HACKING (3.9%) | FRAUD (3.9%)
28,56,⚠️ Perfil Genérico
14,55,DRUGS (1.8%)
51,55,PHONE (98.9%) | HACKING (0.8%) | FRAUD (0.3%)
38,55,DRUGS (4.8%) | FRAUD (1.2%) | HACKING (1.2%)
59,55,FRAUD (100.0%)
23,54,⚠️ Perfil Genérico
17,54,WEAPON (13.9%) | DRUGS (4.3%) | FRAUD (1.4%)
31,54,DRUGS (3.1%) | FRAUD (1.2%) | HACKING (1.2%)
40,53,DRUGS (8.2%) | FRAUD (2.5%) | HACKING (2.5%)
58,53,PHONE (97.6%) | WEAPON (0.9%) | FRAUD (0.6%)
11,53,FRAUD (1.3%) | HACKING (1.3%) | DRUGS (1.3%)
56,53,FRAUD (92.3%) | HACKING (6.6%) | PHONE (0.7%)
46,51,⚠️ Perfil Genérico
12,51,⚠️ Perfil Genérico
39,51,DRUGS (2.0%)
29,50,DRUGS (2.7%) | FRAUD (0.7%) | HACKING (0.7%)
74,50,PHONE (99.0%) | RANSOMWARE (1.0%)
54,49,CARDING (100.0%)
37,49,MARKETPLACE (92.0%) | PHONE (7.1%) | DRUGS (0.6%)
10,48,⚠️ Perfil Genérico
16,48,⚠️ Perfil Genérico
70,48,HACKING (89.7%) | CARDING (4.8%) | PHONE (3.7%)
73,47,MARKETPLACE (96.8%) | PHONE (3.2%)
64,46,HACKING (75.2%) | CARDING (9.1%) | MARKETPLACE (5.6%)
