ID Grupo,Nº Páginas,ADN Ontológico (Micro-temas)
Ruido (Outliers),60,"HACKING (20.13%), DRUGS (20.04%), MARKETPLACE (13.83%), CARDING (12.92%), PHONE (12.89%)"
Grupo 0,125,"DRUGS (86.07%), MARKETPLACE (11.48%), HACKING (1.59%), WEAPON (0.29%), FRAUD (0.20%)"
Grupo 1,423,"HACKING (90.37%), CARDING (3.53%), MARKETPLACE (2.27%), PHONE (1.93%), FRAUD (0.78%)"
Grupo 2,2657,⚠️ Sin trazas ontológicas claras
Grupo 3,101,"DRUGS (40.57%), FRAUD (28.53%), HACKING (25.25%), CARDING (2.97%), MARKETPLACE (2.45%)"
Grupo 4,5,"DRUGS (58.81%), CARDING (39.19%), WEAPON (2.00%)"
Grupo 5,339,"MARKETPLACE (99.66%), CARDING (0.29%), HACKING (0.05%)"
Grupo 6,347,"CARDING (99.48%), FRAUD (0.21%), HACKING (0.13%), MARKETPLACE (0.13%), PHONE (0.02%)"
Grupo 7,102,"CARDING (49.43%), HACKING (38.38%), MARKETPLACE (12.07%), RANSOMWARE (0.12%)"
Grupo 8,4,"HACKING (37.24%), CARDING (32.28%), DRUGS (30.48%)"
Grupo 9,426,FRAUD (100.00%)
Grupo 10,298,"PHONE (99.92%), DRUGS (0.05%), HACKING (0.03%)"
Grupo 11,18,"MARKETPLACE (30.69%), CARDING (17.81%), PHONE (12.87%), FRAUD (12.87%), HACKING (12.87%)"
Grupo 12,11,WEAPON (100.00%)
Grupo 13,10,"CARDING (60.91%), MARKETPLACE (37.18%), HACKING (1.91%)"
Grupo 14,6,"DRUGS (61.27%), FRAUD (14.21%), CARDING (14.21%), MARKETPLACE (10.32%)"
Grupo 15,15,"FRAUD (73.89%), HACKING (25.48%), PHONE (0.32%), RANSOMWARE (0.32%)"
Grupo 16,4,"HACKING (34.94%), CARDING (33.24%), FRAUD (17.90%), DRUGS (11.65%), RANSOMWARE (2.27%)"
Grupo 17,6,RANSOMWARE (100.00%)
Grupo 18,43,"PHONE (50.00%), MARKETPLACE (50.00%)"
