Mercado A,Mercado B,P-Valor,Resultado,Interpretación
DRUGS,HACKING,0.1010995010782127,⚠️ Similares (Mismo Patrón),Posible solapamiento
HACKING,RANSOMWARE,0.0005892786775506465,✅ Diferentes (Distintos),Bien diferenciados
DRUGS,RANSOMWARE,3.074087682211762e-07,✅ Diferentes (Distintos),Bien diferenciados
PHONE,WEAPON,9.236743180906115e-08,✅ Diferentes (Distintos),Bien diferenciados
FRAUD,PHONE,8.6508911541288e-09,✅ Diferentes (Distintos),Bien diferenciados
FRAUD,MARKETPLACE,1.2463005712462478e-16,✅ Diferentes (Distintos),Bien diferenciados
CARDING,MARKETPLACE,1.6630751827829013e-19,✅ Diferentes (Distintos),Bien diferenciados
FRAUD,WEAPON,6.701752221773555e-26,✅ Diferentes (Distintos),Bien diferenciados
MARKETPLACE,PHONE,5.212572700246843e-47,✅ Diferentes (Distintos),Bien diferenciados
CARDING,FRAUD,1.4602758541479045e-63,✅ Diferentes (Distintos),Bien diferenciados
MARKETPLACE,WEAPON,5.223173103359626e-81,✅ Diferentes (Distintos),Bien diferenciados
CARDING,PHONE,7.32193897078655e-123,✅ Diferentes (Distintos),Bien diferenciados
CARDING,WEAPON,2.987118929214974e-172,✅ Diferentes (Distintos),Bien diferenciados
CARDING,RANSOMWARE,4.182773359667102e-301,✅ Diferentes (Distintos),Bien diferenciados
DRUGS,PHONE,0.0,✅ Diferentes (Distintos),Bien diferenciados
CARDING,HACKING,0.0,✅ Diferentes (Distintos),Bien diferenciados
CARDING,DRUGS,0.0,✅ Diferentes (Distintos),Bien diferenciados
DRUGS,MARKETPLACE,0.0,✅ Diferentes (Distintos),Bien diferenciados
DRUGS,FRAUD,0.0,✅ Diferentes (Distintos),Bien diferenciados
FRAUD,HACKING,0.0,✅ Diferentes (Distintos),Bien diferenciados
HACKING,PHONE,0.0,✅ Diferentes (Distintos),Bien diferenciados
HACKING,MARKETPLACE,0.0,✅ Diferentes (Distintos),Bien diferenciados
FRAUD,RANSOMWARE,0.0,✅ Diferentes (Distintos),Bien diferenciados
DRUGS,WEAPON,0.0,✅ Diferentes (Distintos),Bien diferenciados
MARKETPLACE,RANSOMWARE,0.0,✅ Diferentes (Distintos),Bien diferenciados
HACKING,WEAPON,0.0,✅ Diferentes (Distintos),Bien diferenciados
PHONE,RANSOMWARE,0.0,✅ Diferentes (Distintos),Bien diferenciados
RANSOMWARE,WEAPON,0.0,✅ Diferentes (Distintos),Bien diferenciados
